slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
agility-robotics,Agility Robotics,Private,2015,"Salem, Oregon, USA",https://www.agilityrobotics.com,humanoid-robotics; warehouse-automation; logistics; robotics-as-a-service; hardware; deep-tech; bipedal-locomotion,"Humanoid robotics company building Digit, a multi-purpose bipedal robot designed for warehouse logistics and automation",558.0,2100.0,332 (as of February 2026),,,,,high,2026-03-24
ai-work,ai.work,active,2024,"Tel Aviv, Israel",https://www.ai.work,AI Agents / Enterprise Automation,"AI Worker Platform with autonomous, policy-aware agents for IT, procurement, HR, legal, finance, and operations. Founded by ex-WalkMe executives.",10.0,,,,,,,medium,2026-03-23
ai2-robotics,AI2 Robotics,active,2023,"Beijing, China",https://ai2robotics.com/en,Humanoid Robotics,AlphaBot humanoid robots. Valuation >10B yuan ($1.4B). Scaling from 1K to 10K units/year. IPO prep underway.,140.0,1400.0,,,,,,medium,2026-03-21
ai21-labs,AI21 Labs,Independent (potential Nvidia acquisition under discussion as of late 2025),2017,"Tel Aviv, Israel",https://www.ai21.com,Enterprise AI / Foundation Models,AI21 Labs is an Israeli AI company founded in November 2017 that develops proprietary large language models and enterprise AI systems,326.5,1400.0,230 (as of early 2026),,,,,medium-high,2026-03-20
aiceberg,AIceberg,active,2022,"New York, NY",https://aiceberg.ai,AI Security / Trust Platform,"AI trust platform — firewall and gateway for all AI traffic. Detects prompt injection, jailbreaking, PII leakage.",10.0,,,,,,,medium,2026-03-21
aidoc,Aidoc,active,2016,"Tel Aviv, Israel",https://www.aidoc.com,AI Healthcare / Radiology,Clinical AI for radiology and hospital decision support. CARE foundation model. 900+ hospitals deployed.,384.0,,,,,,,high,2026-03-23
aim-security,Aim Security,active,2023,"Tel Aviv, Israel",https://aim.security,AI Security / Agent Protection,"Runtime protection for AI agents — secures agentic AI against prompt injection, data exfiltration, and AI-specific attacks.",18.0,,,,,,,medium,2026-03-21
air-inc,Air,Active,2017,"Brooklyn, NY",https://air.inc/,Artificial Intelligence / Creative Operations / Digital Asset Management,"Air is an AI-powered creative operations platform and system of record for visual content, using image recognition and automation to help 2,500+ brands manage 200M+ images and videos.",77.0,,,,,,,"Medium — Series B confirmed by AlleyWatch; total funding of ~$77M reported by Tracxn across 7 rounds, but not all individual rounds are publicly detailed.",2026-03-24
airops,AirOps,Private,2022,"New York, NY / San Francisco, CA",https://www.airops.com,AI / Content Operations / Marketing,AI-powered content engineering platform helping marketing teams grow brand visibility and win in AI search through scalable workflows combining multiple AI models with brand data,60.0,225.0,,,,,,high,2026-03-23
aiuc,AIUC,active,2025,"San Francisco, CA",https://aiuc.com,AI Agent Insurance / Governance,Insurance and certification infrastructure for autonomous AI agents.,15.0,,,,,,,medium,2026-03-21
albatross-ai,Albatross,active,2024,"Zurich, Switzerland",https://albatross.ai,AI E-commerce / Product Discovery,Real-time AI product discovery for retailers using transformer architecture on live in-session events. Ex-Amazon AI founders.,16.0,,,,,,,medium,2026-03-21
aleph-alpha,Aleph Alpha,active,2019,"Heidelberg, Germany",https://aleph-alpha.com,sovereign AI; enterprise AI; foundation models,Germany's leading sovereign AI company building enterprise AI platform PhariaAI for government and regulated industries.,533.0,,351,,,,,medium,2026-03-23
aleph-fpa,Aleph (FP&A),active,2019,"New York, NY",https://www.getaleph.com,AI Finance / FP&A,AI financial planning and analysis platform. Spreadsheet-native for finance teams.,46.0,,,,,,,medium,2026-03-21
alex-ai,Alex AI,active,2023,"San Francisco, CA",https://alex.com,AI Recruiting / Voice AI,"AI recruiter that conducts autonomous video and phone interviews for candidate screening. YC-backed, serving Fortune 100 companies.",20.0,,,,,,,medium,2026-03-23
all-hands-ai,All Hands AI (OpenHands),Private (Series A),2024,"Somerville, MA",https://openhands.dev,AI-Powered Developer Tools,"All Hands AI is the company behind OpenHands (formerly OpenDevin), one of the most popular open-source AI coding agents",23.8,,Undisclosed (estimated 15-30),,,,,high,2026-03-20
alphaxiv,alphaXiv,active,2024,"San Francisco, CA",https://alphaxiv.org,AI Research Tools / Discovery,"GitHub of AI research — discover, annotate, and discuss arXiv papers. Bridges research and practice.",7.0,,,,,,,medium,2026-03-21
ambience-healthcare,Ambience Healthcare,"Active, Private",2020,"San Francisco, CA",https://www.ambiencehealthcare.com,AI / Healthcare / Clinical Documentation,"> Ambient AI platform for health systems, automating clinical documentation, coding, and workflows -- backed by a16z and OpenAI, valued at $1.25 billion",345.0,1250.0,,,,,,high,2026-03-24
ambient-ai,Ambient.ai,active,2017,"Redwood City, CA",https://www.ambient.ai,AI Computer Vision / Physical Security,AI-powered physical security — computer vision analyzing camera feeds to detect incidents in real time.,74.0,,,,,,,medium,2026-03-21
ami-labs,AMI Labs (Advanced Machine Intelligence),active,2025,"Paris, France",https://amilabs.ai,foundation models; world models; AI research,"AI research lab founded by Turing Award winner Yann LeCun to build world models using JEPA architecture, challenging the dominance of transformer-based LLMs.",1030.0,3500.0,,,"Research lab stage. Building world models based on JEPA (Joint Embedding Predictive Architecture), an alternative to transformer-based LLMs. First commercial partner is Nabla (digital health). Revenue model not yet public, but likely API/licensing for world model capabilities. Focus on learning from reality (video, physical interaction), not just language.",,No known Chinese-origin founders. The founding team is French with strong academic and industry ties in the US and Europe.,high,2026-03-20
amigo-ai,Amigo AI,active,2023,"New York, NY",https://www.amigo.ai,AI Healthcare / Clinical Agents,AI clinical agent platform for healthcare organizations -- digital residency model trains agents across millions of simulated patient scenarios before live deployment.,17.0,,,,,,,medium,2026-03-23
anaconda,Anaconda,active,2012,"Austin, TX",https://www.anaconda.com,Python distribution; AI/ML platform; data science tooling; open source; enterprise AI,"The world's most popular Python/AI distribution platform with 50M+ users, powering data science and AI development for 95% of Fortune 500 companies.",210.0,1500.0,,Operates profitably with $150M+ ARR as of July 2025. The company's reach of 50M+ users and 95% Fortune 500 penetration provides a massive enterprise upsell funnel.,"Freemium SaaS. The open-source Anaconda Distribution is free for individual use, driving massive adoption (50M+ users, 21B+ downloads). Enterprise revenue comes from Anaconda Business and Enterprise subscriptions providing governance, security, and compliance for managing Python/R packages and AI workflows. The company operates profitably with $150M+ ARR as of July 2025.",,,high,2026-03-24
anduril,Anduril Industries,active,2017,"Costa Mesa, California",https://www.anduril.com,defense-govtech; robotics; autonomous-vehicles,AI-powered autonomous defense systems and software platform for national security.,7000.0,60000.0,,"~$1B revenue in 2024 (doubled YoY). Sacra estimates ~$2.1B in 2025. Major contracts include: $22B IVAS program (via Microsoft partnership, Feb 2024), $642M Marine Corps counter-drone contract, $99.6M Army C2 prototype (July 2025). Revenue growth trajectory is approximately 100%+ YoY. [Confidence: medium -- revenue figures are estimates from third-party sources, not official disclosures.]","Product-first defense contractor. Anduril self-funds R&D to build products before seeking government contracts, then sells as commercial items at firm fixed prices -- the opposite of the traditional cost-plus model. This gives them 40-45% gross margins vs. 8-10% for legacy defense primes. Revenue comes from hardware sales (drones, autonomous vehicles, sensors), software licensing (Lattice OS), and long-term government contracts.","U.S. Department of Defense (Army, Navy, Marine Corps, SOCOM, etc.); U.S. Customs and Border Protection (CBP); U.S. Intelligence Community; UK Ministry of Defence; Royal Australian Navy; Allied Five Eyes nations","No China connection. All five co-founders are American. Three come from Palantir (Schimpf, Stephens, Grimm overlap with national security community); Luckey and Chen come from Oculus/VR. Company works exclusively on US and allied defense.",high,2026-03-20
angle-health,Angle Health,active,2019,"San Francisco, CA",https://anglehealth.com,AI Healthcare / Benefits,"AI-native health benefits for SMBs — predicts healthcare risks using millions of de-identified patient records. 44 states, 2600+ employers. Ex-Palantir founders.",200.0,,,,,,,medium,2026-03-21
ankar,Ankar,active,2024,"London, UK",https://ankar.ai,AI IP / Patent Management,AI OS for intellectual property — full patent lifecycle from idea to portfolio strategy. Ex-Palantir founders.,23.0,,,,,,,medium,2026-03-21
anomalo,Anomalo,active,2018,"San Francisco, California, USA",https://www.anomalo.com,AI Data Quality & Observability,"AI-powered data quality platform that automatically detects, explains, and resolves data issues across enterprise data warehouses and lakehouses",72.0,,100,,,,,high,2026-03-24
anterior,Anterior,active,2022,"New York, NY, USA",https://www.anterior.com,AI / Healthcare,Clinician-led AI platform automating prior authorization and administrative workflows for health plans.,64.0,,,,,,,high,2026-03-23
anthropic,Anthropic,active,2021,"San Francisco, CA",https://www.anthropic.com,AI safety; foundation models; enterprise AI,"AI safety company building Claude, the leading enterprise LLM, founded by ex-OpenAI researchers.",67300.0,380000.0,,$19B annualized revenue as of March 2026. $9B ARR at end of 2025. Claude Code alone at $2.5B annualized revenue (Feb 2026). 500+ customers spending >$1M/year. Targeting $20-26B ARR for 2026 and $70B by 2028.,"API-first, pay-per-token pricing (enterprise and developer). ~85% of revenue from business customers via API. Also offers Claude.ai consumer/pro subscriptions and Claude Code (developer tool). AWS Bedrock is a key distribution channel. Charges premium pricing relative to competitors.","8 of the Fortune 10; Deloitte (470,000+ employees deployed); European Parliament; Novo Nordisk; SK Telecom; Commonwealth Bank of Australia; 300,000+ business customers total (as of Oct 2025)",No known Chinese-origin founders. The team is predominantly American/Canadian with strong academic physics and ML research backgrounds. No significant public China connections.,high,2026-03-20
antithesis,Antithesis,active,2022,"Vienna, VA",https://antithesis.com,AI Software Testing / Simulation,Autonomous software testing via deterministic simulation. Founded by FoundationDB creators.,105.0,,,,,,,medium,2026-03-21
anyscale,Anyscale,active,2019,"San Francisco, CA, USA",https://www.anyscale.com,AI / ML Infrastructure,AI infrastructure company behind the Ray open-source framework for scaling and productionizing AI/ML workloads.,281.0,,,,,,,high,2026-03-23
anysphere-cursor,Anysphere,Private,2022,"San Francisco, CA",https://cursor.com,AI-Powered Developer Tools,"Anysphere is the company behind **Cursor**, an AI-native code editor built as a fork of VS Code",3373.0,29300.0,,,,,,high,2026-03-20
anything-ai,Anything,active,2021,"San Francisco, CA",https://createanything.ai,AI Developer Tools / No-Code,AI-powered no-code platform that builds full-stack web and mobile apps from natural language prompts. Hit $2M ARR in first two weeks post-launch.,19.5,,,,,,,medium,2026-03-23
applied-compute,Applied Compute,active,2025,"San Francisco, CA",https://appliedcompute.com,enterprise AI; custom AI models; AI agents; fine-tuning; specific intelligence,"Ex-OpenAI researchers building custom enterprise AI models and autonomous agents trained on proprietary datasets, moving beyond generic AI to specific intelligence.",100.0,700.0,,"In talks to raise at $1.3B valuation as of January 2026, suggesting rapid revenue growth. The high-touch embedded engineering model likely generates significant per-customer revenue. Company is only 6 months old as of late 2025.","Embedded enterprise AI consulting and deployment. Applied Compute embeds engineers directly with enterprise teams to fine-tune models on proprietary data and deploy autonomous AI agents for specific workflows. This is a high-touch, premium model -- more bespoke than API-as-a-service, targeting companies that need intelligence trained on their own data rather than generic models.",,,medium-high,2026-03-24
applied-intuition,Applied Intuition,active,2017,"Mountain View, California",https://www.appliedintuition.com,autonomous-vehicles; simulation; defense-govtech; enterprise-software,"AI-powered simulation, validation, and deployment platform for autonomous vehicles and defense autonomy systems.",1200.0,15000.0,1400,"~$415M ARR in 2024 (100% YoY growth from ~$207M in 2023). Reported ~$800M in revenue in 2025, roughly doubling again. Company reportedly forecasted ARR approaching $1B by end of 2025. [Confidence: medium -- revenue figures are from Sacra estimates and press reports, not official SEC filings.]","B2B SaaS. Applied Intuition sells simulation, validation, and deployment software to automotive OEMs and defense organizations developing autonomous systems. Revenue comes from annual software licenses priced by number of engineering seats, scale of simulation workloads, and specific modules deployed. Gross margins are reported at approximately 85%. The company has expanded from pure simulation into full-stack autonomy software (SDS for Automotive) and defense autonomy (Axion/Acuity), broadening its addressable market from tooling into platform/stack sales.","18 of the top 20 global automakers; U.S. Department of Defense (multiple programs across land, air, sea, space); Major trucking, construction, mining, and agriculture companies; Porsche (strategic investor via Series E); Sierra Nevada Corporation (SNC) -- defense autonomy partnership (Dec 2025)",No known China connection. Both co-founders have American automotive industry roots (Detroit/Michigan). Younis is Pakistani American; Ludwig is American. Company works with US DoD and allied defense. No Chinese investors identified in any funding round.,high,2026-03-20
apptronik,Apptronik,active,2016,"Austin, Texas",https://apptronik.com,Humanoid Robotics / AI,"Apptronik is an Austin, Texas-based humanoid robotics company building Apollo, a general-purpose humanoid robot designed for industrial logistics and manufacturing",935.0,5500.0,264-300 (as of late 2025; rapidly growing),,,,,high,2026-03-20
appzen,AppZen,"Active, Private",2012,"San Jose, CA",https://www.appzen.com,AI / Fintech / Autonomous Finance / Enterprise Automation,"> AI-native autonomous finance platform with proprietary models, serving 65+ Fortune 500 companies and automating end-to-end finance workflows across T&E, accounts payable, and corporate cards",290.0,500.0,378 (as of 2025),,,,,high,2026-03-24
apriora,Apriora,Active,2023,"San Francisco, CA",https://apriora.ai,AI Recruiting / HR Tech,AI interviewer that screens job candidates through live video conversations with personalized follow-up questions,3.3,,,,,,,High,2026-03-23
arago-photonics,Arago Photonics,active,2025,"Paris, France",https://www.arago.inc,AI Chips / Photonic Processors,Photonic AI processor chips delivering 10x lower energy than GPUs at equivalent performance.,26.0,,,,,,,medium,2026-03-21
arcade-ai,Arcade,active,2024,"San Francisco, CA",https://www.arcade.dev,AI Infrastructure / Agent Auth,AI agent authentication and integration platform -- enables AI agents to securely take real-world actions on behalf of users. Founded by ex-Okta exec and ex-Redis engineer.,12.0,,,,,,,medium,2026-03-23
arcads-ai,Arcads.ai,active,2023,"Mont Saint Aignan, France",https://www.arcads.ai,AI Video / Ad Creative,AI video platform generating UGC-style social videos with AI actors in 35+ languages.,16.0,,,,,,,medium,2026-03-21
archetype-ai,Archetype AI,active,2023,"Palo Alto, CA, USA",https://www.archetypeai.io,AI / Physical World AI / Sensor Intelligence,Physical AI company building foundation models that understand real-world sensor data to power autonomous physical agents.,48.0,,,,,,,high,2026-03-23
arena,Arena,Unicorn,2023,"San Francisco Bay Area, CA (originated from UC Berkeley)",https://arena.ai,AI evaluation; LLM benchmarking; crowdsourced evaluation; model leaderboards; enterprise AI,"Arena (formerly LMArena, originally Chatbot Arena) is a community-powered AI model evaluation platform",250.0,,11-50 (estimated early 2026),,,,,medium,2026-03-20
arize-ai,Arize AI,Private,2020,"San Francisco, California",https://arize.com,AI/ML Observability & Evaluation Platform,Arize AI is an AI engineering platform focused on evaluation and observability for AI models and agents,131.0,,150+,,,,,high,2026-03-20
armada-edge,Armada,active,2022,"San Francisco, CA",https://armada.ai,AI Infrastructure / Edge Computing,Edge AI compute — ruggedized satellite-connected modular data centers for remote locations. M12 (Microsoft) backed.,171.0,,,,,,,medium,2026-03-21
armadin,Armadin,active,2025,"San Francisco, CA",https://www.armadin.com,AI Cybersecurity / Red Team,Autonomous AI cybersecurity agents for red-team ops. Founded by Kevin Mandia (Mandiant founder).,190.0,,,,,,,medium,2026-03-21
arondite,Arondite,active,2023,"London, UK",https://www.arondite.com,AI Defense / Threat Detection,AI defense technology for autonomous threat detection systems.,12.0,,,,,,,medium,2026-03-21
artificial-societies,Artificial Societies,active,2024,"London, UK",https://societies.io,AI Simulation / Synthetic Personas,AI simulation platform using synthetic personas to predict audience reactions to products and campaigns. YC W25.,5.3,,,,,,,medium,2026-03-21
artisan-ai,Artisan AI,Private,2023,"San Francisco, CA",https://artisan.co,AI / Sales Automation / Digital Workers,"AI digital workers starting with Ava, an AI BDR automating B2B sales outbound. 250 customers, $5M ARR.",46.0,,35 (estimated 2025),,,,,medium,2026-03-20
arva-ai,Arva AI,Active,2024,"San Francisco, CA",https://arva.ai,AI Compliance / FinTech,AI agents for instant global KYB/KYC onboarding and AML compliance operations,3.5,,,,,,,Medium,2026-03-23
assembled,Assembled,active,2018,"San Francisco, CA",https://www.assembled.com,AI-Powered Support Operations / Workforce Management,"AI-powered support operations platform that unifies workforce management, AI agent automation, and BPO oversight for enterprise customer service teams",70.7,,75-150 (uncertain; 75 reported on some trackers likely grown since 2022),,,,,high on funding/founders; moderate on revenue and employee count,2026-03-20
assemblyai,AssemblyAI,active,2017,"San Francisco, CA, USA",https://www.assemblyai.com,AI / Speech-to-Text,"AI speech recognition and understanding platform building research-grade models for transcription, summarization, and audio intelligence.",115.0,,,,,,,high,2026-03-23
assort-health,Assort Health,active,2023,"San Francisco, CA",https://www.assorthealth.com,healthcare AI; agentic AI; patient engagement; voice AI; healthcare operations,"Agentic AI platform for patient phone calls, scheduling, and engagement, handling 42M+ patient interactions and cutting hold times from 11 minutes to 1 minute.",102.0,,,42M+ patient interactions processed. Forbes Cloud 100 recognition. Rapid funding trajectory ($3.5M to $102M in under 3 years) suggests strong revenue growth. Specific ARR figures not publicly disclosed.,"Enterprise SaaS for healthcare providers. Assort Health deploys AI agents (voice, text, email, web) that handle patient phone calls, scheduling, prescription refills, and administrative tasks. Healthcare practices pay subscription fees based on usage/volume. The platform integrates with existing EHR systems and handles specialty-specific workflows.",,,medium-high,2026-03-24
astrus,Astrus,active,2024,"Toronto, Canada",https://www.astrus.ai,AI for Chip Design / Analog Layout,Physics-aware AI foundation model for analog chip layout. Uses AlphaGo-inspired RL to surpass human designers.,8.0,,,,,,,medium,2026-03-21
astut,Astut,active,2025,"Oxford, UK",https://astut.co.uk,AI Decision Intelligence / Defense,"Hybrid AI for high-stakes unseen decisions — transparent reasoning for defense, energy, and finance. Oxford Math Dept spinout.",2.0,,,,,,,medium,2026-03-21
athina-ai,Athina AI,Private,2023,"San Francisco, CA",https://www.athina.ai,AI Infrastructure / LLM Evaluation,"End-to-end platform for prototyping, experimenting, evaluating, and monitoring production-grade AI pipelines",3.0,,,,,,,high,2026-03-23
atlan,Atlan,active,2018,"New York, New York, USA",https://atlan.com,AI Data Governance & Metadata Management,"Active metadata platform for modern data teams — a collaborative data catalog enabling organizations to find, understand, and trust their data",206.0,750.0,400,,,,,high,2026-03-24
atomic-ai,Atomic AI,active,2020,"South San Francisco, CA",https://atomic.ai,AI Biotech / RNA Drug Discovery,AI platform for RNA drug discovery using 3D structural biology and deep learning.,42.0,,,,,,,medium,2026-03-21
attio,Attio,Private,2019,"London, UK",https://attio.com,AI / CRM / GTM Automation,AI-native CRM for go-to-market teams combining flexible data models with AI automation.,116.0,,100 (estimated),,,,,medium,2026-03-20
attuned-intelligence,Attuned Intelligence,active,2024,"Orlando, FL",https://www.attuned-intelligence.com,AI Healthcare / Hospital Call Centers,Supervised AI voice agents for hospital call centers — resolves ~70% of patient calls autonomously.,13.0,,,,,,,medium,2026-03-21
augment-code,Augment Code,Private (Series B),2022,"Palo Alto, CA",https://www.augmentcode.com,AI-Powered Developer Tools,Augment Code is an enterprise-focused AI coding assistant company that emerged from stealth in April 2024 with $252M in total funding and a near-unicorn valuation,252.0,977.0,156-188 (estimates vary 2025-2026),,,,,high,2026-03-20
