slug,name,status,founded_year,hq,website,sectors,one_liner,total_raised_m,latest_valuation_m,latest_round,latest_round_date,business_model,revenue_signals,key_customers,employee_count,team_china_profile,confidence,last_updated
anduril,Anduril Industries,active,2017,"Costa Mesa, California",https://www.anduril.com,defense-govtech; robotics; autonomous-vehicles,AI-powered autonomous defense systems and software platform for national security.,7000.0,60000.0,,,"Product-first defense contractor. Anduril self-funds R&D to build products before seeking government contracts, then sells as commercial items at firm fixed prices -- the opposite of the traditional cost-plus model. This gives them 40-45% gross margins vs. 8-10% for legacy defense primes. Revenue comes from hardware sales (drones, autonomous vehicles, sensors), software licensing (Lattice OS), and long-term government contracts.","~$1B revenue in 2024 (doubled YoY). Sacra estimates ~$2.1B in 2025. Major contracts include: $22B IVAS program (via Microsoft partnership, Feb 2024), $642M Marine Corps counter-drone contract, $99.6M Army C2 prototype (July 2025). Revenue growth trajectory is approximately 100%+ YoY. [Confidence: medium -- revenue figures are estimates from third-party sources, not official disclosures.]","U.S. Department of Defense (Army, Navy, Marine Corps, SOCOM, etc.); U.S. Customs and Border Protection (CBP); U.S. Intelligence Community; UK Ministry of Defence; Royal Australian Navy; Allied Five Eyes nations",,"No China connection. All five co-founders are American. Three come from Palantir (Schimpf, Stephens, Grimm overlap with national security community); Luckey and Chen come from Oculus/VR. Company works exclusively on US and allied defense.",high,2026-03-20
anomalo,Anomalo,active,2018,"San Francisco, California, USA",https://www.anomalo.com,AI Data Quality & Observability,,,,,,,,,,,medium,2026-03-20
anthropic,Anthropic,active,2021,"San Francisco, CA",https://www.anthropic.com,AI safety; foundation models; enterprise AI,"AI safety company building Claude, the leading enterprise LLM, founded by ex-OpenAI researchers.",67300.0,380000.0,,,"API-first, pay-per-token pricing (enterprise and developer). ~85% of revenue from business customers via API. Also offers Claude.ai consumer/pro subscriptions and Claude Code (developer tool). AWS Bedrock is a key distribution channel. Charges premium pricing relative to competitors.",$19B annualized revenue as of March 2026. $9B ARR at end of 2025. Claude Code alone at $2.5B annualized revenue (Feb 2026). 500+ customers spending >$1M/year. Targeting $20-26B ARR for 2026 and $70B by 2028.,"8 of the Fortune 10; Deloitte (470,000+ employees deployed); European Parliament; Novo Nordisk; SK Telecom; Commonwealth Bank of Australia; 300,000+ business customers total (as of Oct 2025)",,No known Chinese-origin founders. The team is predominantly American/Canadian with strong academic physics and ML research backgrounds. No significant public China connections.,high,2026-03-20
anysphere-cursor,Anysphere,active,2022,"San Francisco, CA",https://cursor.com,AI-Powered Developer Tools,,,,,,,,,,,medium,2026-03-20
applied-intuition,Applied Intuition,active,2017,"Mountain View, California",https://www.appliedintuition.com,autonomous-vehicles; simulation; defense-govtech,"AI-powered simulation, validation, and deployment platform for autonomous vehicles and defense autonomy systems.",1200.0,15000.0,,,"B2B SaaS. Applied Intuition sells simulation, validation, and deployment software to automotive OEMs and defense organizations developing autonomous systems. Revenue comes from annual software licenses priced by number of engineering seats, scale of simulation workloads, and specific modules deployed. Gross margins are reported at approximately 85%. The company has expanded from pure simulation into full-stack autonomy software (SDS for Automotive) and defense autonomy (Axion/Acuity), broadening its addressable market from tooling into platform/stack sales.","~$415M ARR in 2024 (100% YoY growth from ~$207M in 2023). Reported ~$800M in revenue in 2025, roughly doubling again. Company reportedly forecasted ARR approaching $1B by end of 2025. [Confidence: medium -- revenue figures are from Sacra estimates and press reports, not official SEC filings.]","18 of the top 20 global automakers; U.S. Department of Defense (multiple programs across land, air, sea, space); Major trucking, construction, mining, and agriculture companies; Porsche (strategic investor via Series E); Sierra Nevada Corporation (SNC) -- defense autonomy partnership (Dec 2025)",1400,No known China connection. Both co-founders have American automotive industry roots (Detroit/Michigan). Younis is Pakistani American; Ludwig is American. Company works with US DoD and allied defense. No Chinese investors identified in any funding round.,high,2026-03-20
apptronik,Apptronik,active,2016,"Austin, Texas",https://apptronik.com,Humanoid Robotics; AI,,935.0,5500.0,,,,,,264,,medium,2026-03-20
appzen,AppZen,active,2012,"San Jose, CA",https://www.appzen.com,AI; Fintech; Autonomous Finance,,290.0,,,,,,,378,,medium,2026-03-20
arena,Arena,active,2023,"San Francisco Bay Area, CA (originated from UC Berkeley)",https://arena.ai,AI evaluation; LLM benchmarking; crowdsourced evaluation,,,,,,,,,11,,medium,2026-03-20
artisan-ai,Artisan AI,active,2023,"San Francisco, CA",artisan.co,AI; Sales Automation; Digital Workers,,,,,,,,,35,,medium,2026-03-20
assembled,Assembled,active,2018,"San Francisco, CA",https://www.assembled.com,AI-Powered Support Operations; Workforce Management,,70.7,,"Series B ($51M, May 2022)",,,,,75,,high on funding/founders; moderate on revenue and employee count,2026-03-20
atlan,Atlan,active,2018,"New York, New York, USA",https://atlan.com,AI Data Governance & Metadata Management,,,,,,,,,,,medium,2026-03-20
attio,Attio,active,2019,"London, UK",attio.com,AI; CRM; GTM Automation,,,,,,,,,100,,medium,2026-03-20
augment-code,Augment Code,active,2022,"Palo Alto, CA",https://www.augmentcode.com,AI-Powered Developer Tools,,252.0,977.0,,,,,,156,,high,2026-03-20
baichuan-intelligence,Baichuan Intelligence,active,2023,"Haidian District, Beijing, China",https://www.baichuan-ai.com,Foundation Models; Medical AI,,1040.0,2700.0,,,,,,400,,medium,2026-03-20
baseten,Baseten,active,2019,"San Francisco, CA",https://www.baseten.co,AI Infrastructure; Cloud,,585.0,5000.0,,,,,,,,medium,2026-03-20
basis,Basis,active,2023,"New York, NY",https://www.getbasis.ai,AI for Accounting,,138.0,1150.0,,,,Undisclosed,,50,,medium,2026-03-20
bland-ai,Bland AI,active,2023,"San Francisco, CA",https://www.bland.ai,,,65.0,,Series B - $40M (January 2025),,,,,,,high on funding and founders; moderate on headcount and revenue,2026-03-20
bolt,Bolt.new (StackBlitz),active,2017,"San Francisco, CA",https://bolt.new,AI-Powered Development Tools; Vibe Coding,,135.0,700.0,,,,,,,,high on funding and founder data; moderate on 2026 revenue and team size,2026-03-20
brightwave,Brightwave,active,2023,"Boulder, CO",https://www.brightwave.io,AI for Finance; Investment Research,,21.0,,,,,Undisclosed (reported 4x revenue growth in four months post-seed; no public ARR figure),,22,,medium,2026-03-20
browser-use,Browser Use,active,2024,"Zurich, Switzerland / San Francisco, CA",,AI Infrastructure; Agentic AI Tooling,,17.0,,,,,,,,,medium,2026-03-20
callosum,Callosum,active,2024,"London, United Kingdom",https://callosum.ai,AI; Compute Orchestration; Multi-chip Infrastructure,,,,,,,,,30,,medium,2026-03-20
cartesia,Cartesia,active,2023,"San Francisco, CA, USA",https://cartesia.ai,AI Infrastructure; Voice AI; Edge AI,,91.0,,"Series A ($64M, March 2025)",,,,,91,,medium,2026-03-20
cerebras,Cerebras Systems,active,2015,"Sunnyvale, California, USA",https://www.cerebras.ai,AI Hardware; Semiconductors,,4300.0,23000.0,,,,,,500,,medium,2026-03-20
chai-discovery,Chai Discovery,active,2024,"San Francisco, CA",https://chaidiscovery.com,Biotech AI; Molecular Discovery,,225.0,1300.0,,,,,,50,,medium,2026-03-20
chaos-industries,Chaos Industries,active,2022,"Los Angeles, California",https://www.chaosindustries.com,defense-govtech; artificial-intelligence; counter-drone,Counter-drone radar and AI-powered communication systems for defense and critical infrastructure protection.,1000.0,4500.0,,,"Defense hardware and software company focused on counter-drone detection and defeat. Chaos Industries builds the Vanquish radar system, which detects small unmanned aerial vehicles at ranges of hundreds of kilometers, along with AI-powered communication and electronic warfare systems. Revenue comes from government defense contracts and sales of hardware systems to military and critical infrastructure customers.",Over $1B raised in total funding. The rapid funding pace (Series B to D in 18 months) and $4.5B valuation suggest significant contracted revenue or government orders. The counter-drone market is estimated at $5B+ annually and growing rapidly due to drone threats globally. [Confidence: low -- no public revenue figures.],U.S. Department of Defense; U.S. military branches; Critical infrastructure operators; Allied military forces,,No China connection. Founders are American defense tech entrepreneurs. The company builds counter-drone systems for the US military and allied forces.,medium,2026-03-20
character-ai,Character.AI,active,2021,"Menlo Park, California",https://character.ai,Consumer AI; Conversational AI,,193.0,2500.0,,,,,,259,,medium,2026-03-20
charm-therapeutics,Charm Therapeutics,active,2021,"London, UK",https://charmtx.com,Biotech AI; Drug Discovery,,150.0,,,,,,,50,,medium,2026-03-20
clay,Clay,active,2017,"New York, NY",clay.com,AI; Sales Intelligence; GTM Automation,,,5000.0,,,,,,1167,,high,2026-03-20
cleanlab,Cleanlab,acquired,2021,"San Francisco, CA",,Data-Centric AI; Data Quality; AI Reliability,,30.0,,,,,,,,,medium,2026-03-20
coactive-ai,Coactive AI,active,2021,"San Jose, California",https://www.coactive.ai,Enterprise AI; Multimodal AI; Visual Content Intelligence,,44.0,200.0,,,,,,66,,high,2026-03-20
coderabbit,CodeRabbit,active,2023,"San Jose, CA",https://www.coderabbit.ai,AI-Powered Developer Tools,,88.0,550.0,,,,,,24,,high,2026-03-20
cognition-ai,Cognition AI (Cognition Labs),active,2023,"San Francisco, CA",https://cognition.ai,AI; Developer Tools; Autonomous Coding Agents,,696.0,10200.0,,,,,,286,,medium,2026-03-20
cohere,Cohere,active,2019,"Toronto, Ontario, Canada",cohere.com,Enterprise AI; Large Language Models,,,,,,,,,,,medium,2026-03-20
contextual-ai,Contextual AI,active,2023,"Mountain View, California",https://contextual.ai,Enterprise AI; RAG Infrastructure,,,,,,,,,51,,medium,2026-03-20
continue,Continue,active,2023,"San Francisco, CA",https://www.continue.dev,AI-Powered Developer Tools,,5.6,,,,,,,10,,medium,2026-03-20
copy-ai,Copy.ai,acquired,2020,"Remote-first (Memphis, TN origin)",https://www.copy.ai,,,19.8,,,,,,,50,,medium,2026-03-20
coreweave,CoreWeave,public,2017,"Livingston, New Jersey",https://www.coreweave.com,AI; GPU Cloud Infrastructure,,,,,,,,,1500,,high,2026-03-20
corvus-robotics,Corvus Robotics,active,2017,"Mountain View, California, USA",https://www.corvus-robotics.com,Warehouse Automation; Autonomous Drones,,,,,,,,,,,medium,2026-03-20
cosine-ai,Cosine,active,2022,"London, United Kingdom",https://cosine.sh,AI-Powered Developer Tools,,2.5,,,,,,,32,,medium,2026-03-20
covariant,Covariant,acquired,2017,"Emeryville, CA",https://covariant.ai,AI robotics; warehouse automation; foundation models for robotics,AI robotics company building foundation models for warehouse automation; effectively acquihired by Amazon in 2024 in a controversial reverse-acquihire deal.,222.0,625.0,,,B2B robotics AI -- licenses the Covariant Brain software to warehouse and fulfillment center operators to automate pick-and-place operations. Deployed with integration partners like KNAPP.,"No public revenue figures. Pre-deal, Covariant had deployed hundreds of AI-powered robotic solutions across multiple industries.","50+ customers and partners (as of 2024); KNAPP (5+ year partnership); Industries: apparel, health & beauty, grocery, pharmaceuticals",,,medium,2026-03-20
cradle,Cradle,active,2021,"Amsterdam, Netherlands",https://www.cradle.bio,AI for biology; protein engineering; generative AI,AI-powered protein engineering platform using generative protein language models to help scientists design better proteins in a fraction of the time.,103.0,,,,"Pure SaaS — enterprise software subscription. Cradle explicitly avoids royalties, revenue sharing, or IP entanglements that are common in biotech partnerships. Customers retain full IP on proteins designed using the platform. This clean model is a key selling point for large pharma and industrial biotech companies. The platform is also offered through a partnership with Ginkgo Bioworks, which allows users without their own lab facilities to access Cradle's AI plus Ginkgo's lab infrastructure.","No public revenue figures. Private pre-Series-C stage company. Strong enterprise traction signals: 21 customers, 50+ active R&D programs, doubling headcount, and signing 6 of top 25 pharma companies suggest meaningful ARR growth.",6 of the top 25 global pharma companies (as of 2025); 4 of the top 10 global pharma companies; Johnson & Johnson Innovative Medicine; Novo Nordisk; AbbVie; Novonesis (formerly Novozymes); Grifols; Twist Bioscience; Ginkgo Bioworks (partnership); 21+ total customers,,,medium-high,2026-03-20
cresta,Cresta,active,2018,"San Francisco, CA",https://cresta.com,Contact Center AI; Customer Experience AI,,282.0,1600.0,,,,,,300,,medium,2026-03-20
crusoe,Crusoe,active,2018,"Denver, Colorado",https://www.crusoe.ai,AI; GPU Cloud Infrastructure; Data Centers,,,,,,,,,500,,high,2026-03-20
d-matrix,d-Matrix,active,2019,"Santa Clara, California, USA",https://www.d-matrix.ai,AI Hardware; Semiconductors (In-Memory Compute),,450.0,2000.0,,,,,,200,,medium,2026-03-20
databricks,Databricks,active,2013,"San Francisco, California, USA",https://www.databricks.com,Data & AI Infrastructure,,,,,,,,,,,medium,2026-03-20
datacurve,Datacurve,active,2024,"San Francisco, CA",,AI Infrastructure; Training Data,,18.0,150.0,,,,,,,,medium,2026-03-20
dataminr,Dataminr,public,2009,"New York, NY",https://www.dataminr.com,AI; Real-Time Threat & Event Detection,,1200.0,4100.0,Series F extension — $100M convertible from Fortress Investment Group (April 2025),,,,,800,,medium,2026-03-20
david-ai,David AI,active,2024,"San Francisco, CA",,AI Infrastructure; Audio Data,,80.0,500.0,,,,,,,,medium,2026-03-20
day-ai,Day AI,active,2023,"Sacramento, CA",day.ai,AI; CRM; Sales Automation,,,,,,,,,,,medium,2026-03-20
decagon,"Decagon AI, Inc.",active,2023,"San Francisco, CA",https://decagon.ai,Enterprise AI; Conversational AI; AI Customer Support Agents,,481.0,4500.0,,,,,,50,,"high (well-funded, widely covered; some revenue/headcount figures are estimates)",2026-03-20
deepl,DeepL,public,2017,,deepl.com,Artificial Intelligence,,,,,,Freemium SaaS (tiered subscriptions + API usage fees),,,,,medium,2026-03-20
deepseek,DeepSeek,active,2023,"Hangzhou, Zhejiang, China",https://www.deepseek.com,Foundation Models; Large Language Models,,,,,,,,,150,,medium,2026-03-20
descript,Descript,active,2017,"San Francisco, CA",https://www.descript.com,AI Video & Audio Editing,,100.0,550.0,"Series C ($50M, November 2022)",,,,,188,,medium,2026-03-20
elevenlabs,ElevenLabs,active,2022,"New York, NY (with offices in London and Warsaw)",https://elevenlabs.io,AI Voice & Audio,,791.0,11000.0,,,,,,736,,medium,2026-03-20
eliseai,EliseAI,active,2017,"New York, NY",https://eliseai.com,Real Estate AI; Healthcare AI,,392.0,2200.0,,,,~$100M+ (2025),,200,,medium,2026-03-20
emergent,Emergent,active,2024,"San Francisco, CA (R&D center in Bengaluru, India)",,AI Applications; Vibe Coding,,100.0,300.0,,,,,,,,medium,2026-03-20
epirus,Epirus,active,2018,"Torrance, California",https://www.epirusinc.com,defense-govtech; directed-energy; counter-drone,Directed-energy weapons company building high-power microwave systems to counter drones and electronic threats.,550.0,1350.0,,,"Defense hardware company building directed-energy weapon systems. The flagship product, Leonidas, is a solid-state high-power microwave (HPM) system that defeats drones and drone swarms by frying their electronics. Revenue comes from US DoD contracts, production orders for Leonidas systems, and R&D contracts. The company is scaling manufacturing to meet growing demand for counter-drone solutions.",Total funding >$550M. Series D funds earmarked for scaling Leonidas production. Multiple DoD testing and evaluation contracts completed. The company is transitioning from R&D to production scaling. [Confidence: low -- no public revenue figures.],U.S. Department of Defense; U.S. Army; U.S. Marine Corps; U.S. Special Operations Command; International allied military forces,,"No China connection. Founders are American with deep ties to US defense and intelligence communities. Joe Lonsdale co-founded Palantir, one of the most US-government-aligned technology companies. Epirus works exclusively for the US military and allied forces.",medium,2026-03-20
essential-ai,Essential AI,active,2023,"San Francisco, CA",,Enterprise AI; AI Automation,,240.0,1000.0,,,,,,,,medium-high,2026-03-20
etched,Etched,active,2022,"Cupertino, California, USA",https://etched.com,AI Hardware; Semiconductors (Inference ASICs),,625.0,5000.0,,,,,,50,,medium,2026-03-20
evenup,EvenUp,active,2019,"San Francisco, CA",https://www.evenuplaw.com,Legal AI; Legal Tech,,385.0,2000.0,,,,,,300,,medium,2026-03-20
exa,Exa,active,2021,"San Francisco, California",https://exa.ai,AI; Search Infrastructure; Data Retrieval,,,,,,,,,100,,high,2026-03-20
factory-ai,Factory,active,2023,"San Francisco, CA",https://factory.ai,AI-Powered Developer Tools,,70.0,300.0,,,,,,30,,high,2026-03-20
field-ai,FieldAI,active,2016,"Irvine, California, USA",https://www.fieldai.com,Embodied AI; Autonomous Robotics Software,,,,,,,,,,,medium,2026-03-20
figure-ai,Figure AI,active,2022,"Sunnyvale, California, USA",https://www.figure.ai,humanoid-robotics; embodied-ai; manufacturing-automation,,,39000.0,Series C,,,,,479,,medium,2026-03-20
fireworks-ai,Fireworks AI,active,2022,"Redwood City, CA",https://fireworks.ai,AI Infrastructure,,331.0,4000.0,,,,,,,,medium,2026-03-20
flex-ai,FlexAI,active,2023,"Paris, France",https://www.flex.ai,AI Infrastructure; GPU Cloud Compute,,,,,,,,,,,high,2026-03-20
formation-bio,Formation Bio,active,2016,"New York, NY",https://formationbio.com,Biotech AI; AI-Native Pharma,,608.0,1700.0,,,,,,200,,medium,2026-03-20
forsight-robotics,ForSight Robotics,active,2018,"Yokneam Illit, Israel (relocating to Caesarea)",https://www.forsightrobotics.com,Surgical Robotics; Medical AI,,,,,,,,,,,medium,2026-03-20
fourier-intelligence,Fourier Intelligence,active,2015,"Shanghai, China",https://www.fftai.com,Humanoid Robotics; Rehabilitation Robotics,,,,,,,,,,,medium,2026-03-20
freenome,Freenome,public,2014,"South San Francisco, CA",https://freenome.com,Healthcare AI; Cancer Diagnostics,,1350.0,1500.0,,,,,,400,,medium,2026-03-20
furtherai,FurtherAI,active,2023,"New York, NY",https://www.furtherai.com,Insurance AI,,30.0,,,,,,,50,,medium,2026-03-20
galileo-ai,Galileo,active,2021,"San Francisco, CA",galileo.ai,llm-evaluation; ai-observability; guardrails,,68.0,,Series B,2024-10-15,,,,153,,high,2026-03-20
gather-ai,Gather AI,active,2017,"Pittsburgh, Pennsylvania, USA",https://www.gather.ai,Warehouse Automation; Autonomous Drones,,,,,,,,,,,medium,2026-03-20
genesis-therapeutics,Genesis Therapeutics,active,2019,"Burlingame, CA",https://genesistherapeutics.ai,Biotech AI; Drug Discovery,,327.0,,,,,,,100,,medium,2026-03-20
glean,Glean,active,2019,"Palo Alto, California",glean.com,Enterprise AI; AI-Powered Workplace Search & Agents,,765.0,7200.0,,,,$200M (as of December 2025),,850,,medium,2026-03-20
granola,Granola,active,2023,"London, United Kingdom",https://www.granola.ai,AI Productivity; Meeting Notes,,125.0,1000.0,,,,~$22M (fiscal year 2024),,30,,medium,2026-03-20
graphcore,Graphcore,active,2016,"Bristol, United Kingdom",https://www.graphcore.ai,AI Hardware; Semiconductors (IPU Architecture),,,,,,,,,500,,medium,2026-03-20
graphite,Graphite,acquired,2020,"San Francisco, CA",https://graphite.com,AI-Powered Developer Tools,,81.0,,,,,,,40,,high,2026-03-20
greptile,Greptile,active,2023,"San Francisco, CA",https://www.greptile.com,AI-Powered Developer Tools,,29.0,180.0,,,,,,10,,high,2026-03-20
groq,Groq,acquired,2016,"Mountain View, CA",https://groq.com,AI inference hardware; AI chips; cloud inference,"Creator of the LPU (Language Processing Unit), a purpose-built AI inference chip delivering ultra-low latency, acquired by Nvidia for ~$20B in December 2025.",1750.0,6900.0,,,"Dual model -- hardware (LPU chips) and cloud inference (GroqCloud). GroqCloud is consumption-based pay-per-token API, similar to OpenAI/Anthropic pricing but differentiated on speed. 'Ramp to hardware' strategy: developers start on API, enterprises can scale to dedicated LPU deployments. Also does large-scale infrastructure deals (Saudi Arabia/HUMAIN). Revenue was projected at ~$500M for 2025 (revised down from $2B target). Chips fabricated by Samsung Foundry.",Projected $500M revenue for 2025 (revised down from original $2B target). One source cites $172.5M as of mid-2025. The $20B Nvidia deal dwarfs operating revenue. Approximately 624 employees as of 2025.,"2M+ developers on GroqCloud; HUMAIN (Saudi Arabia sovereign AI entity); IBM (Watsonx Orchestrate integration); McLaren F1 (live race data analysis); Bell Canada (sovereign AI deployment across six sites); Hugging Face (official inference provider, June 2025); OpenAI (models deployed on Groq infrastructure in Saudi Arabia via HUMAIN)",,No known Chinese-origin founders. Founding team originates from Google's TPU project. No significant public China connections.,medium-high,2026-03-20
h-company,H Company,active,2023,"Paris, France (with offices in London and New York)",https://hcompany.ai,AI; Autonomous Agents; Enterprise Automation,,220.0,,,,,,,201,,medium,2026-03-20
hadrius,Hadrius,active,2023,"San Francisco, CA",https://www.hadrius.com,AI for Financial Compliance,,28.8,,,,,Undisclosed,,50,,medium,2026-03-20
harness,Harness,active,2017,"San Francisco, CA",https://www.harness.io,AI-Powered Developer Tools,,654.0,5500.0,,,,,,1000,,high,2026-03-20
harper,Harper,active,2024,"San Francisco, CA",,AI Applications; InsurTech,,47.0,,,,,,,,,medium,2026-03-20
harvey-ai,Harvey AI,active,2022,"San Francisco, CA",https://www.harvey.ai,Legal AI; Professional Services AI,,1200.0,11000.0,,,,~$195M (end of 2025),,1000,,medium,2026-03-20
hebbia,Hebbia,active,2020,"New York, NY",https://www.hebbia.com,"Enterprise AI; Knowledge Work (Finance, Legal, Government)",,161.0,700.0,,,,~$25M (Sep 2025 estimate; see notes below),,140,,medium,2026-03-20
helsing,Helsing,active,2021,"Munich, Germany",https://helsing.ai,defense-govtech; artificial-intelligence; autonomous-systems,"European AI-powered defense software for autonomous systems across air, land, sea, space, and cyber domains.",1500.0,13200.0,,,"Defense AI software company. Helsing builds AI software that can be embedded into existing military platforms (fighter jets, ground vehicles, naval systems) to add autonomous capabilities, sensor fusion, and real-time decision support. Revenue comes from government defense contracts with European NATO nations (Germany, France, UK). The company does not build hardware; it focuses on the software layer that makes existing platforms smarter.",Exact revenue not publicly disclosed. EUR 12B valuation suggests significant contracted revenue or pipeline. Key contracts include integration with Eurofighter Typhoon program and partnerships with SAAB and Airbus Defence. [Confidence: low -- limited public revenue data.],German Federal Armed Forces (Bundeswehr); French Ministry of the Armed Forces; UK Ministry of Defence; NATO-allied European nations; Airbus Defence (partnership for Eurofighter integration); SAAB (strategic investor and partner),,No China connection. All three co-founders are German nationals with deep ties to European defense institutions. The company operates exclusively in support of European and NATO-allied defense. Daniel Ek (Spotify founder) serves as Chairman through his investment vehicle Prima Materia.,medium,2026-03-20
heygen,HeyGen,active,2020,"Los Angeles, California, USA",https://www.heygen.com,generative-ai; video-generation; digital-avatars,,65.6,,,,,~$100M (late 2025),,,,high,2026-03-20
hippocratic-ai,Hippocratic AI,active,2023,"Palo Alto, CA",https://hippocraticai.com,Healthcare AI; Agentic AI,,404.0,3500.0,,,,,,200,,medium,2026-03-20
hugging-face,Hugging Face,active,2016,"New York, NY, USA",huggingface.co,Artificial Intelligence; Open-Source ML Platform,,,,,,,,,200,,medium,2026-03-20
imbue,Imbue,active,2020,"San Francisco, CA",https://imbue.com,AI Agents; Reasoning; Foundation Models,,232.0,1000.0,,,,,,,,medium,2026-03-20
inflection-ai,Inflection AI,active,2022,"Palo Alto, CA",https://inflection.ai,Artificial Intelligence; Enterprise AI,,1520.0,4000.0,,,,,,62,,medium,2026-03-20
insilico-medicine,Insilico Medicine,public,2014,"Hong Kong (global operations in US, China, UAE, and other locations)",https://insilico.com,AI-Driven Drug Discovery; Generative AI Biotech,,,,,,,,,500,,high (publicly traded on HKEX; extensive press coverage and clinical data available),2026-03-20
isomorphic-labs,Isomorphic Labs,active,2021,"London, United Kingdom",https://www.isomorphiclabs.com,ai-drug-discovery; alphabet; deepmind,,,,,,,,,348,,medium,2026-03-20
jasper,Jasper,active,2021,"Austin, Texas (remote-first)",https://www.jasper.ai,AI-powered marketing; content generation,,131.0,,,,,,,,,medium,2026-03-20
jump-ai,Jump,active,2023,"Salt Lake City, UT",https://jump.ai,AI for Financial Advisory,,105.0,,,,,Undisclosed,,50,,medium,2026-03-20
knowunity,Knowunity,active,2020,"Berlin, Germany",https://knowunity.com,AI Education; Student Learning Platform,,45.0,150.0,,,,,,80,,medium,2026-03-20
kodezi,Kodezi,active,2019,"San Francisco, CA (originally Orlando, FL)",https://kodezi.com,AI-Powered Developer Tools,,2.0,,,,,,,9,,medium,2026-03-20
labelbox,Labelbox,active,2018,"San Francisco, CA (510 Treat Ave, San Francisco, CA 94110)",https://labelbox.com,AI Infrastructure; Data Labeling & Training,,189.0,1000.0,"Series D ($110M, Jan 2022)",,,,,150,,medium-high,2026-03-20
lambda,Lambda,public,2012,"San Francisco, California",https://lambda.ai,AI; GPU Cloud Infrastructure,,2440.0,11500.0,,,,,,300,,medium-high,2026-03-20
landbase,Landbase,active,2023,"San Francisco, CA",landbase.com,AI; GTM Automation; Revenue Operations,,,,,,,,,50,,medium,2026-03-20
langchain,LangChain,active,2023,"San Francisco, CA",https://www.langchain.com,AI Infrastructure; Developer Tools,,260.0,1250.0,,,,,,,,medium,2026-03-20
lightmatter,Lightmatter,active,2017,"Boston, Massachusetts, USA",https://lightmatter.co,AI Hardware; Photonic Interconnects,,850.0,4400.0,,,,,,315,,medium,2026-03-20
lila-sciences,Lila Sciences,active,2023,"Cambridge, MA",https://lila.ai,Biotech AI; Autonomous Scientific Discovery,,550.0,1300.0,,,,,,100,,medium,2026-03-20
