slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,business_model,revenue_signals,team_china_profile,num_founders,num_rounds,key_customers,confidence,last_updated
character-ai,Character Ai,active,2021,"Menlo Park, California",https://character.ai,Consumer AI / Conversational AI,,193.0,,,,,2,0,,medium,2026-03-20
coactive-ai,Coactive AI,active,2021,"San Jose, California",https://www.coactive.ai,Enterprise AI / Multimodal AI / Visual Content Intelligence,,44.0,200.0,,,,0,0,,high,2026-03-20
cognition-ai,Cognition Ai,active,2023,"San Francisco, CA",https://cognition.ai,AI / Developer Tools / Autonomous Coding Agents,,696.0,10200.0,,,,3,0,,medium,2026-03-20
cohere,Cohere,active,2019,"Toronto, Ontario, Canada",cohere.com,Enterprise AI / Large Language Models,,,,,,,3,6,,medium,2026-03-20
contextual-ai,Contextual AI,active,2023,"Mountain View, California",https://contextual.ai,Enterprise AI / RAG Infrastructure,,,,,,,0,0,,medium,2026-03-20
copy-ai,Copy.ai,active,2020,"Remote-first (Memphis, TN origin)",https://www.copy.ai,,,19.8,,,,,2,0,,medium,2026-03-20
coreweave,Coreweave,active,2017,"Livingston, New Jersey",https://www.coreweave.com,AI / GPU Cloud Infrastructure,,,,,,,3,0,,high,2026-03-20
covariant,Covariant,active,2017,"Emeryville, CA",https://covariant.ai,AI robotics; warehouse automation; foundation models for robotics,AI robotics company building foundation models for warehouse automation; effectively acquihired by Amazon in 2024 in a controversial reverse-acquihire deal.,222.0,625.0,B2B robotics AI -- licenses the Covariant Brain software to warehouse and fulfillment center operators to automate pick-and-place operations. Deployed with integration partners like KNAPP.,"No public revenue figures. Pre-deal, Covariant had deployed hundreds of AI-powered robotic solutions across multiple industries.",,4,6,"50+ customers and partners (as of 2024); KNAPP (5+ year partnership); Industries: apparel, health & beauty, grocery, pharmaceuticals",medium,2026-03-20
cradle,Cradle,active,2021,"Amsterdam, Netherlands",https://www.cradle.bio,AI for biology; protein engineering; generative AI,AI-powered protein engineering platform using generative protein language models to help scientists design better proteins in a fraction of the time.,103.0,,"Pure SaaS — enterprise software subscription. Cradle explicitly avoids royalties, revenue sharing, or IP entanglements that are common in biotech partnerships. Customers retain full IP on proteins designed using the platform. This clean model is a key selling point for large pharma and industrial biotech companies. The platform is also offered through a partnership with Ginkgo Bioworks, which allows users without their own lab facilities to access Cradle's AI plus Ginkgo's lab infrastructure.","No public revenue figures. Private pre-Series-C stage company. Strong enterprise traction signals: 21 customers, 50+ active R&D programs, doubling headcount, and signing 6 of top 25 pharma companies suggest meaningful ARR growth.",,5,3,6 of the top 25 global pharma companies (as of 2025); 4 of the top 10 global pharma companies; Johnson & Johnson Innovative Medicine; Novo Nordisk; AbbVie; Novonesis (formerly Novozymes); Grifols; Twist Bioscience; Ginkgo Bioworks (partnership); 21+ total customers,medium-high,2026-03-20
databricks,Databricks,active,2013,"San Francisco, California, USA",https://www.databricks.com,Data & AI Infrastructure,,,,,,,7,12,,medium,2026-03-20
deepl,DeepL,active,2017,,deepl.com,Artificial Intelligence,,,,Freemium SaaS (tiered subscriptions + API usage fees),,,3,3,,medium,2026-03-20
descript,Descript,active,2017,"San Francisco, CA",https://www.descript.com,AI Video & Audio Editing,,100.0,,,,,1,0,,medium,2026-03-20
elevenlabs,Elevenlabs,active,2022,"New York, NY (with offices in London and Warsaw)",https://elevenlabs.io,AI Voice & Audio,,791.0,11000.0,,,,2,5,,medium,2026-03-20
essential-ai,Essential AI,active,2023,"San Francisco, CA",,Enterprise AI / AI Automation,,240.0,,,,,2,0,,medium-high,2026-03-20
figure-ai,Figure Ai,active,2022,"Sunnyvale, California, USA",Humanoid Robotics / Embodied AI,,,,39000.0,,,,1,4,,medium,2026-03-20
galileo-ai,Galileo,active,2021,"San Francisco, CA",galileo.ai,,,68.0,,,,,3,0,,high,2026-03-20
glean,Glean,active,2019,"Palo Alto, California",glean.com,Enterprise AI / AI-Powered Workplace Search & Agents,,765.0,7200.0,,$200M (as of December 2025),,0,0,,medium,2026-03-20
groq,Groq,active,2016,"Mountain View, CA",https://groq.com,AI inference hardware; AI chips; cloud inference,"Creator of the LPU (Language Processing Unit), a purpose-built AI inference chip delivering ultra-low latency, acquired by Nvidia for ~$20B in December 2025.",1750.0,6900.0,"Dual model -- hardware (LPU chips) and cloud inference (GroqCloud). GroqCloud is consumption-based pay-per-token API, similar to OpenAI/Anthropic pricing but differentiated on speed. 'Ramp to hardware' strategy: developers start on API, enterprises can scale to dedicated LPU deployments. Also does large-scale infrastructure deals (Saudi Arabia/HUMAIN). Revenue was projected at ~$500M for 2025 (revised down from $2B target). Chips fabricated by Samsung Foundry.",Projected $500M revenue for 2025 (revised down from original $2B target). One source cites $172.5M as of mid-2025. The $20B Nvidia deal dwarfs operating revenue. Approximately 624 employees as of 2025.,No known Chinese-origin founders. Founding team originates from Google's TPU project. No significant public China connections.,2,7,"2M+ developers on GroqCloud; HUMAIN (Saudi Arabia sovereign AI entity); IBM (Watsonx Orchestrate integration); McLaren F1 (live race data analysis); Bell Canada (sovereign AI deployment across six sites); Hugging Face (official inference provider, June 2025); OpenAI (models deployed on Groq infrastructure in Saudi Arabia via HUMAIN)",medium-high,2026-03-20
harvey-ai,Harvey AI,active,2022,"San Francisco, CA",https://www.harvey.ai,Legal AI / Professional Services AI,,1200.0,11000.0,,~$195M (end of 2025),,2,0,,medium,2026-03-20
hebbia,Hebbia,active,2020,"New York, NY",https://www.hebbia.com,"Enterprise AI / Knowledge Work (Finance, Legal, Government)",,161.0,,,~$25M (Sep 2025 estimate; see notes below),,1,0,,medium,2026-03-20
hippocratic-ai,Hippocratic AI,active,2023,"Palo Alto, CA",https://hippocraticai.com,Healthcare AI / Agentic AI,,404.0,3500.0,,,,0,0,,medium,2026-03-20
hugging-face,Hugging Face,active,2016,"New York, NY, USA",huggingface.co,Artificial Intelligence / Open-Source ML Platform,,,,,,,0,0,,medium,2026-03-20
imbue,Imbue,active,2020,"San Francisco, CA",https://imbue.com,AI Agents / Reasoning / Foundation Models,,232.0,1000.0,,,,2,0,,medium,2026-03-20
inflection-ai,Inflection AI,active,2022,"Palo Alto, CA",https://inflection.ai,Artificial Intelligence / Enterprise AI,,1520.0,,,,,3,0,,medium,2026-03-20
insilico-medicine,Insilico Medicine,active,2014,"Hong Kong (global operations in US, China, UAE, and other locations)",https://insilico.com,AI-Driven Drug Discovery / Generative AI Biotech,,,,,,,0,0,,high (publicly traded on HKEX; extensive press coverage and clinical data available),2026-03-20
jasper,Jasper,active,2021,"Austin, Texas (remote-first)",https://www.jasper.ai,AI-powered marketing / content generation,,131.0,,,,,0,0,,medium,2026-03-20
labelbox,Labelbox,active,2018,"San Francisco, CA (510 Treat Ave, San Francisco, CA 94110)",https://labelbox.com,AI Infrastructure / Data Labeling & Training,,189.0,,,,,3,0,,medium-high,2026-03-20
lambda,Lambda,active,2012,"San Francisco, California",https://lambda.ai,AI / GPU Cloud Infrastructure,,2440.0,,,,,2,0,,medium-high,2026-03-20
langchain,LangChain,active,2023,"San Francisco, CA",https://www.langchain.com,AI Infrastructure / Developer Tools,,260.0,1250.0,,,,0,0,,medium,2026-03-20
lightmatter,Lightmatter,active,2017,"Boston, Massachusetts, USA",https://lightmatter.co,AI Hardware / Photonic Interconnects,,850.0,4400.0,,,,0,0,,medium,2026-03-20
luma-ai,Luma Ai,active,2021,"Palo Alto, CA",lumalabs.ai,AI Video & 3D Generation / Creative AI Agents,,,,,,,0,0,,medium,2026-03-20
magic,Magic,active,2022,"San Francisco, CA",https://magic.dev,AI / Developer Tools / Code Generation,,,,,,,2,0,,medium,2026-03-20
midjourney,Midjourney,active,2021,"San Francisco, California",https://www.midjourney.com,AI Image & Video Generation,,0.0,,,,,0,0,,medium,2026-03-20
mistral-ai,Mistral AI,active,2023,,mistral.ai,Artificial Intelligence,,,,Open-core SaaS (API + enterprise subscriptions + consumer product),,,3,4,,medium,2026-03-20
modal,"Modal (Modal Labs, Inc.)",active,2021,"New York, NY",https://modal.com,AI Infrastructure / Cloud Computing,,111.0,1100.0,,,,2,0,,high on funding/founders; moderate on revenue/valuation talks,2026-03-20
moveworks,Moveworks,active,2016,"Mountain View, California",moveworks.com,Enterprise AI / Agentic AI Copilot & Employee Support,,315.0,2100.0,,"$100M+ (late 2024, per company disclosure)",,0,0,,medium,2026-03-20
nuro,Nuro,active,2016,"Mountain View, California",https://www.nuro.ai,Autonomous Vehicles / AI / Robotics,,2300.0,6000.0,,,,2,0,,medium,2026-03-20
observe-ai,Observe.AI,active,2017,"San Francisco / Redwood City, CA",https://www.observe.ai,AI for Contact Centers / Conversational Intelligence,,214.0,,,,,4,0,,medium,2026-03-20
openai,Openai,active,2015,"San Francisco, CA",https://openai.com,foundation models; generative AI; LLMs,Creator of GPT and ChatGPT; the company that ignited the generative AI era.,168000.0,840000.0,"Multi-stream: (1) Consumer subscriptions -- ChatGPT Free/Plus ($20/mo)/Pro ($200/mo); (2) Enterprise -- ChatGPT Team (~$25-30/user/mo), ChatGPT Enterprise (custom pricing ~$60/seat); (3) API platform -- usage-based pricing for developers building on GPT models; (4) Strategic licensing deals (Apple Intelligence integration, Disney/Sora). Exploring advertising as additional revenue stream.","ARR tripled from ~$6B (end 2024) to ~$20B (end 2025). Hit first $1B revenue month in July 2025. Sacra estimates ~$25B annualized run rate as of Feb 2026. 910M weekly active users. 9M+ paying business users. Projects $280B revenue by 2030. Despite revenue growth, company projects ~$14B in losses for 2026 due to massive compute spend.",No Chinese-origin founders. OpenAI has historically had Chinese-origin researchers on staff but the company has restricted API access in China since mid-2024. No prominent mainland Chinese executives in current leadership.,8,8,"Apple (ChatGPT integration in Apple Intelligence); Microsoft (Azure OpenAI Service, Copilot products); Amazon/AWS (exclusive third-party cloud distribution for enterprise); Disney ($1B investment + Sora licensing deal); Samsung & SK (Stargate initiative partnership); U.S. Department of Defense / Pentagon ($200M contract); U.S. Government (classified + unclassified AI services via AWS); Mattel (AI-powered product development); Consulting firms: Accenture, BCG, Capgemini, McKinsey (Frontier Alliances program); 1M+ organizations using OpenAI technology (as of Dec 2025)",high,2026-03-20
perplexity,Perplexity,active,2022,"115 Sansome Street, Suite 900, San Francisco, CA",https://www.perplexity.ai,AI-Powered Search / Information Retrieval,,,,,,,0,0,,medium,2026-03-20
physical-intelligence,Physical Intelligence,active,2024,"San Francisco, CA",https://www.physicalintelligence.company,foundation models; robotics; physical AI,Building general-purpose foundation models that give any robot the ability to perform any task in the physical world.,1070.0,5600.0,"Software-centric 'intelligence layer' for robotics. Physical Intelligence develops foundation models (vision-language-action models) that serve as plug-and-play brains for third-party robot hardware. The emerging model is an API/SaaS approach -- providing robotic intelligence as a service rather than building vertically integrated robots. One source mentions a $300/month/robot subscription pricing, though this is unconfirmed and may be speculative. Early commercial traction is through partnerships with hardware companies (Weave Robotics for home/laundry, Ultra for warehouse automation). The company has also open-sourced parts of its stack (openpi on GitHub) to build ecosystem adoption.","Pre-revenue or very early revenue as of late 2025. The $5.6B valuation is based on technology potential rather than current revenue. Competitor Skild AI reportedly generated $30M in revenue from its deployed 'Skild Brain' product, suggesting the market is beginning to monetize but Physical Intelligence has prioritized research over commercialization so far. The Weave and Ultra partnerships (announced February 2026) represent the first public evidence of live commercial deployments using Pi's models.",,7,3,,medium-high,2026-03-20
pika,Pika,active,2023,"Palo Alto, CA (office at 2700 W El Camino Real, Mountain View, CA 94040)",https://pika.art,AI Video Generation / Generative AI,,135.0,,,,,2,0,,medium,2026-03-20
pinecone,Pinecone,active,2019,"New York, NY",https://www.pinecone.io,vector databases; AI infrastructure; search,"Serverless vector database purpose-built for AI applications, founded by ex-Amazon/Yahoo research leader Edo Liberty.",138.0,750.0,"Consumption-based SaaS. Tiered pricing: Starter (free), Standard ($50/month minimum), Enterprise ($500/month minimum), and Dedicated/BYOC. Charges based on read units (queries/fetches), write units (data modifications), and storage (per GB). Also offers Pinecone Inference (hosted embedding and reranking models) and Pinecone Assistant (agent/chat API) as additional revenue streams. Available on AWS Marketplace, Azure Marketplace, and GCP. BYOC (Bring Your Own Cloud) in public preview for enterprise customers.","$26.6M annual revenue in 2024 (66.6% YoY growth from $16M in 2023). Revenue trajectory: $2.2M (2021) -> $4.9M (2022) -> $16M (2023) -> $26.6M (2024). Latka reports $14M for 2025, though this figure is ambiguous -- it may represent partial-year or monthly data; if annual, it would represent a significant decline. ~4,000 paying customers. 129 employees as of Feb 2026.",No known Chinese-origin founders. The founding team is Israeli-American. No significant public China connections.,1,3,"Shopify; HubSpot; Gong; Zapier; Workday; BambooHR; Vanguard; 20,000+ organizations worldwide (as of late 2024); 30,000+ organizations on serverless (as of late 2024); Notion (lost as customer; departure reported in 2025)",medium,2026-03-20
poolside,Poolside,active,2023,"Paris, France (legal HQ in US; ~80% of team in Europe)",AI Code Generation / AI Software Engineering,,,,12000.0,,,,2,0,,high on funding figures; moderate on revenue projections and employee count,2026-03-20
recursion,"Recursion Pharmaceuticals, Inc.",active,2013,"Salt Lake City, Utah",https://www.recursion.com,AI-Driven Drug Discovery / TechBio,,,,,,,0,0,,high (publicly traded; extensive disclosures available),2026-03-20
replit,Replit,active,2016,"Foster City, CA (remote-friendly)",https://replit.com,Developer Tools / AI-Assisted Software Development,"AI-powered cloud coding platform — build, run, and deploy software from a browser",,,,,,3,8,,medium,2026-03-20
robust-intelligence,Robust Intelligence,active,2019,"San Francisco, CA (originally Cambridge, MA)",,AI Security & Validation,,44.0,,,,,2,0,,medium,2026-03-20
runway,Runway,active,2018,"New York, NY",runwayml.com,AI Video Generation / World Models,,,,,,,0,0,,medium,2026-03-20
sakana-ai,Sakana AI,active,2023,"Tokyo, Japan",,Artificial Intelligence / Foundation Models,,,,,,,3,0,,high,2026-03-20
sambanova,SambaNova Systems,active,2017,"Palo Alto, California, USA",https://sambanova.ai,AI Hardware / AI Infrastructure (Full-Stack),,1480.0,,,,,0,0,,medium,2026-03-20
sanctuary-ai,Sanctuary AI,active,2018,"Vancouver, British Columbia, Canada",https://www.sanctuary.ai,AI / Robotics,,,,,,,4,5,,Moderate — leadership transition and fundraise status post-mid-2025 are uncertain,2026-03-20
scale-ai,Scale Ai,active,2016,"San Francisco, CA",https://scale.com,AI Infrastructure / Data Services,,15900.0,29000.0,,,,2,8,,medium,2026-03-20
shield-ai,Shield Ai,active,2015,"San Diego, California",https://shield.ai,defense-govtech; autonomous-vehicles; AI-software,Building the world's best AI pilot -- autonomous flight software (Hivemind) for drones and fighter jets operating in GPS/comms-denied environments.,1400.0,5600.0,"Dual revenue stream: (1) Hardware -- sells V-BAT autonomous VTOL drones (Group 3 UAS) and will eventually sell X-BAT autonomous fighter jets. (2) Software licensing -- Hivemind autonomy platform licensed to allies and integrated onto third-party platforms (e.g., Anduril's Fury CCA). Revenue was ~$300M for fiscal year ending March 2025. CEO targets 70-100% annual growth to reach $1B by FY2028. Also acquires complementary hardware companies (Martin UAV in 2021 for V-BAT, Heron Systems in 2021 for AI dogfighting).","~$300M revenue for FY ending March 2025. Targeting 70-100% YoY growth to $1B by FY2028. CCA program is structured as a multi-decade, multi-billion-dollar production opportunity. [Confidence: medium -- revenue figures from CEO statements and third-party estimates, not audited financials.]",No China connection. The founding team is American. Brandon Tseng is a former Navy SEAL with high-level security clearances. The company works exclusively on U.S. and allied defense applications. Key investors include strategic defense partners L3Harris and Hanwha (South Korea).,3,9,"U.S. Air Force (CCA / Collaborative Combat Aircraft program -- Hivemind selected as mission autonomy provider, Feb 2026); U.S. Coast Guard ($198M contract for V-BAT maritime UAS services, July 2024); U.S. Marine Corps; U.S. SOCOM / Special Operations Forces (Nova indoor reconnaissance drone); Indian Army (V-BAT drones + Hivemind, announced Jan 2026); Singapore (Hivemind software license); South Korea (Hivemind software license); Romania, Indonesia, Japan (V-BAT surveillance drones); Ukraine (V-BATs operationally deployed, withstanding EW attacks)",high,2026-03-20
sierra-ai,"Sierra Technologies, Inc.",active,2023,"San Francisco, CA",https://sierra.ai,Enterprise AI / Conversational AI / AI Agents,,635.0,10000.0,,,,2,0,,high (well-covered company with public disclosures),2026-03-20
skild-ai,Skild Ai,active,2023,"Pittsburgh, PA",https://www.skild.ai,foundation models; robotics; physical AI,"Building the first general-purpose, omni-bodied foundation model (the 'Skild Brain') that can control any robot, perform any task, in any environment.",2215.0,14000.0,"Software-centric 'brain-as-a-service' for robotics. Skild builds the Skild Brain -- a general-purpose foundation model -- and deploys it as the intelligence layer on third-party robot hardware. Rather than building its own robots, Skild partners with hardware OEMs (ABB Robotics, Universal Robots, Foxconn) and integrates its AI into their existing robot platforms. Revenue comes from licensing and deploying the Skild Brain across industrial customers. The company grew from zero to approximately $30M in revenue in 2025, indicating early commercial traction that most robotics AI competitors have not yet achieved.","The company reportedly grew from zero to ~$30M in revenue in 2025, which is notable given that most competitors (including Physical Intelligence) remain pre-revenue or very early revenue. The Foxconn/NVIDIA factory deployment and March 2026 ABB/Universal Robots partnerships suggest an accelerating commercial pipeline. Revenue model details (per-robot licensing, subscription, or per-deployment fees) have not been publicly disclosed.",,2,4,,medium-high,2026-03-20
snorkel-ai,Snorkel AI,active,2019,"Palo Alto, CA",,Data-Centric AI / AI Infrastructure,,238.0,1300.0,,,,0,0,,medium,2026-03-20
ssi,Safe Superintelligence Inc.,active,2024,"Palo Alto, California",https://ssi.inc,Artificial Intelligence / AGI Safety,,3000.0,32000.0,,,,3,0,,medium,2026-03-20
stability-ai,Stability AI,active,2019,"London, United Kingdom",https://stability.ai,"Generative AI / Image, Video, Audio, 3D Synthesis",,181.0,,,,,2,0,,medium,2026-03-20
suno,Suno,active,2021,"Cambridge, Massachusetts",https://suno.com,AI Music Generation,,375.0,2450.0,,$300M (February 2026),,0,0,,medium,2026-03-20
synthesia,Synthesia,active,2017,"London, UK (20 Triton Street)",AI Video Generation (Avatar-based),,,536.0,4000.0,,,,4,0,,medium,2026-03-20
tavus,Tavus,active,2021,"San Francisco, CA",https://www.tavus.io,AI Video / Human Computing,,64.2,,,,,2,0,,medium,2026-03-20
together-ai,Together AI,active,2022,"San Francisco, CA",https://www.together.ai,AI Infrastructure / Cloud,,534.0,3300.0,,,,0,0,,medium,2026-03-20
twelve-labs,Twelve Labs,active,2021,"San Francisco, CA (660 4th Street)",twelvelabs.io,Multimodal AI / Video Understanding,,107.0,,,,,0,0,,medium-high,2026-03-20
typeface,Typeface,active,2022,"Palo Alto, California",typeface.ai,Enterprise AI / Generative AI for Marketing & Content,,305.0,1000.0,,,,0,0,,high,2026-03-20
udio,Udio,active,2023,"New York, NY, USA",udio.com,AI Music Generation,,,,,,,5,0,,high (funding figures and founder names widely corroborated; some details like exact valuation and Series A timing are uncertain),2026-03-20
unstructured,"Unstructured (Unstructured Technologies, Inc.)",active,2022,"Rocklin, California (Sacramento metro area)",https://unstructured.io,AI Infrastructure / Data ETL & Preprocessing,,65.0,,,,,0,0,,high,2026-03-20
viz-ai,Viz.ai,active,2016,"San Francisco, CA",https://www.viz.ai,Healthcare AI / Clinical Decision Support,,252.0,1200.0,,,,0,0,,medium,2026-03-20
wayve,Wayve,active,2017,"London, United Kingdom",Autonomous Driving / Embodied AI,,,2500.0,8600.0,,,,2,0,,medium,2026-03-20
weaviate,Weaviate,active,2019,"Amsterdam, Netherlands",https://weaviate.io,vector databases; AI infrastructure; search,"Open-source, AI-native vector database built in Go, founded by Dutch entrepreneur Bob van Luijt who started coding at 15 and studied jazz composition before pivoting to infrastructure.",117.6,200.0,"Open-core SaaS. The core Weaviate vector database is open-source (BSD-3 license) and free to self-host. Revenue comes from Weaviate Cloud Services, offered in three tiers: (1) Shared Cloud (formerly Serverless Cloud) -- multi-tenant, pay-as-you-go; (2) Dedicated Cloud (formerly Enterprise Cloud) -- fully managed dedicated resources with enterprise-grade support, RBAC, SOC 2, HIPAA compliance; (3) Bring Your Own Cloud (BYOC) -- Weaviate manages the database on the customer's cloud infrastructure. Enterprise pricing is based on annual contracts using AI Units (AIUs), with AWS and Azure Marketplace starting contracts at $10,000 for 12 months. Pricing updated October 27, 2025 with new dimensions including storage and backups, regional pricing variations, and HA cluster options.","$12.3M annual revenue in 2024, per Latka. 104 employees at that time, implying ~$118K revenue per employee. Employee count grew 68% in 2024. Employee count has since contracted to ~81 as of February 2026, which may indicate cost discipline or restructuring. No public 2025 revenue figures found.",No known Chinese-origin founders. The founding team is Dutch and German. No significant public China connections.,3,4,"Instabase (50K+ tenants, 450+ data types indexed for a single customer solution); Red Hat; NetApp; Morningstar; Cisco; Bunq; Stack AI; 2,000+ companies in production (as of Series B announcement, 2023); 50,000+ AI builders in the community (as of 2025)",medium,2026-03-20
weka,WEKA,active,2013,"Campbell, California, USA",https://www.weka.io,AI Data Infrastructure / High-Performance Storage,,375.0,1600.0,,,,0,0,,medium,2026-03-20
