company_slug,name,role,background,origin,prior
aegisai,Ryan Luo,Co-founder & CTO,"Pomona College, Yale CS Award recipient. 9 years at Google on Safe Browsing and reCAPTCHA teams. Built reCAPTCHA's product-led growth strategy driving adoption by millions of sites.",Chinese-American,
aeon-health,Tim Seithe,CEO,Previously founded Tillhub (sold to Unzer/KKR),German,
aeon-health,Samuel Frey,CPO,"Decade in product, led turnaround at Platomics",Swiss/German,
afterquery,Carlos Georgescu,Co-Founder,"Built multiple software businesses, exited an ed-tech startup; former SWE at Citadel Securities; interned at Meta",Romania,
afterquery,Spencer Mateega,Co-Founder,"Award-winning researcher; interned at Meta (SWE), Google (SWE), Morgan Stanley (IB), Silver Lake (PE)",American,
afterquery,Danny Tang,Co-Founder,"Won international Microsoft AI competition; worked at Morgan Stanley (IB), BDT & MSD Partners; Wharton student",American,
agentin-ai,Sankeerth Rao Karingula,Founder,Ex-Google Research Scientist,Indian,
agentio,Arthur Leopold,Co-Founder & CEO,"Former President at Cameo, the celebrity talent marketplace. First employee at Cameo where he scaled the marketplace from nascency to $500M in sales and grew the creator roster from 10 to 52,000+. Deep expertise in creator economy marketplaces and talent management.",American,
agentio,Jonathan Meyers,Co-Founder & CTO,"Former Spotify engineer and manager in the Growth and Innovation organization. Led Spotify's Automated Content Marketing team, driving multi-million dollar MAU outcomes. Brings expertise in programmatic content matching and growth engineering.",American,
agentmail,Haakam Aujla,Co-Founder,YC S25 batch.,South Asian (inferred from name),
agentmail,Michael Kim,Co-Founder & CTO,YC S25 batch.,Korean-American (inferred from name),
agentmail,Adi Singh,Co-Founder,YC S25 batch.,Indian,
agibot,Deng Taihua,"Co-Founder, CEO & Chairman",Founded AgiBot in 2023 in Shanghai.,Chinese,
agibot,Peng Zhihui,Co-Founder & CTO,Prominent Chinese robotics/AI engineer. Well-known tech influencer in China.,Chinese,
agility-robotics,Jonathan Hurst,Co-Founder & Chief Robot Officer,"B.S. in Mechanical Engineering, M.S. and Ph.D. in Robotics, all from Carnegie Mellon University. Professor at Oregon State University, where he co-founded the OSU Robotics Institute and ran the Dynamic Robotics Laboratory. His academic research on physics-based legged locomotion formed the scientific foundation for Cassie and Digit. Transitioned from CTO to Chief Robot Officer in April 2023 to focus on R&D roadmap, industrial design, and innovation pipeline. Remains on OSU faculty.",American,
agility-robotics,Damion Shelton,"Co-Founder & Chairman of the Board (formerly CEO, then President, then Chief Engagement Officer)","Ph.D. in Robotics from Carnegie Mellon University, where he met Hurst. Served as CEO from founding through March 2024, then transitioned to President, and later to Chief Engagement Officer (December 2024), focusing on commercial and investor engagement. Now serves as Chairman.",American,
agility-robotics,Mikhail Jones,Co-Founder & VP of Software,Was Jonathan Hurst's graduate student at Oregon State University. Leads software development for Digit.,[not publicly detailed],
ai-work,Maor Ezer,Co-Founder & CEO,"Previously sold company to WalkMe (NASDAQ WKME), served as CMO and strategic advisor to CEO at WalkMe.",Israeli,
ai-work,Nir Nahum,Co-Founder & CTO,"Founding team member and CTO of WalkMe. 20+ years enterprise software experience, nine US patents.",Israeli,
ai2-robotics,Guo Yandong,CEO,"Purdue PhD, former chief scientist at XPeng",Chinese,
ai21-labs,Yoav Shoham,"Co-Founder, Co-CEO","Professor Emeritus of Computer Science, Stanford University; former Google Principal Scientist; PhD CS Yale",Israeli,
ai21-labs,Ori Goshen,"Co-Founder, Co-CEO","Serial entrepreneur (Fring, Crowdx); IDF Unit 8200 veteran; 15+ years technology leadership",Israeli,
ai21-labs,Amnon Shashua,Co-Founder,"CS Professor, Hebrew University of Jerusalem; Co-founder of Mobileye (Intel acquisition, $15.3B), OrCam, OneZero; 160+ papers, 94+ patents",Israeli,
aiceberg,Alexander Schlager,Founder & CEO,20+ years of technology and cybersecurity expertise.,German/Austrian (inferred from name),
aidoc,Elad Walach,CEO,"BSc CS Technion, BSc Math & Physics Hebrew University. IDF Talpiot program veteran. Led AI research in Israeli Air Force. Forbes 30 Under 30, Modern Healthcare 40 Under 40.",Israeli,
aidoc,Michael Braginsky,CTO,"BSc Physics & CS, MSc CS (Medical Image Processing) Hebrew University. IDF Talpiot program veteran. Former Head of R&D for Israeli Special Forces, deploying state-of-the-art vision technologies.",Israeli (Russian-Jewish heritage),
aifi,Steve Gu,CEO,PhD CS from Duke. Former Google X and Apple engineer.,,
aifi,Ying Zheng,CTO,PhD computer vision from Duke. EMBA Stanford. Former Google and Apple.,,
aim-security,Matan Getz,Co-Founder & CEO,IDF Unit 8200 veteran. Deputy CISO at the Israel Defense Forces.,Israeli,
aim-security,Adir Gruss,Co-Founder & CTO,Commander of elite cybersecurity education program in the IDF.,Israeli,
air-inc,Shane Hegde,CEO,BS Stanford. Former Chief Digital Strategist at REVOLT. CEO & Co-Founder of Swap (venture-backed fintech). Former PE investor at HPS Investment Partners.,American,
air-inc,Tyler Strand,Co-Founder & CTO,"BS CS Stanford. Former Director of Product at Beatport (launched Beatport Live). Former Partner & Director of PM at Postlight (clients: Goldman Sachs, Time Inc, Bloomberg). Stanford college roommate of Shane Hegde.",American,
airops,Alex Halliday,Co-Founder & CEO,Led AirOps from inception; background in technology and marketing operations.,British,
airops,Berna Gonzalez,Co-Founder,Co-founded AirOps alongside Halliday and Hammel.,Uruguayan,
airops,Matt Hammel,Co-Founder,Co-founded AirOps; operational and technical expertise.,American,
aisera,Muddu Sudhakar,CEO,Serial enterprise software founder. Former Caspida (acquired by Splunk).,,
aiuc,Rune Kvist,Co-Founder & CEO,First product and go-to-market hire at Anthropic (2022).,Scandinavian (inferred from name),
aiuc,Brandon Wang,Co-Founder & CTO,Thiel Fellow. Previously founded a consumer underwriting business.,Chinese-American,
aiuc,Rajiv Dattani,Co-Founder,Former McKinsey partner (global insurance). Former COO of METR (AI safety research non-profit).,Indian-British (inferred from name),
albatross-ai,Kevin Kahn,Co-Founder & CEO,PhD in applied physics from Imperial College London. MBA from U of Chicago Booth. Previously led ML and recommendation platforms at Amazon Music.,American,
albatross-ai,Matteo Ruffini,Co-Founder,PhD. Previously at Amazon.,Italian (inferred from name),
albatross-ai,Johan Boissard,Co-Founder,Serial entrepreneur.,French/Swiss (inferred from name),
aleph-alpha,Jonas Andrulis,Founder; Chairman of Advisory Board (as of Jan 2026; stepped down as CEO Oct 2025),"Industrial Engineering, Karlsruhe Institute of Technology (KIT), specialization in AI and modeling Apple, Special Projects Group - Senior AI R&D Manager (multiple years in California); Pallas Ludens - Founder & CEO (machine learning / computer vision startup)",German,
aleph-alpha,Samuel Weinbach,Co-Founder; Co-Chief Research Officer,Unknown (details not publicly available) Deloitte - AI Expert,German (unconfirmed),
aleph-fpa,Albert Gozzi,Co-Founder & CEO,Built the MVP during the pandemic (2020). Y Combinator alum.,Italian/Latin American (inferred from name),
aleph-fpa,Santiago Perez De Rosso,Co-Founder & CTO,PhD from MIT. Previously at DocuSign.,Spanish/Latin American (inferred from name),
alex-ai,Aaron Wang,Co-Founder & CEO,"Former Facebook engineer, ex-quant at hedge fund.",Chinese-American,
alex-ai,John Rytel,Co-Founder,Brown University dropout. Technical co-founder.,American,
all-hands-ai,Robert Brennan,Co-Founder & CEO,Previously at Google (document summarization). Executive roles at multiple ML/infrastructure startups.,American,
all-hands-ai,Graham Neubig,Co-Founder & Chief Scientist,Associate Professor at Carnegie Mellon University. Expert in NLP and language agents.,American (inferred from name and CMU affiliation),
all-hands-ai,Xingyao Wang,Co-Founder & Chief AI Officer,PhD student at University of Illinois Urbana-Champaign. Research on interactive language agents.,Chinese,
alphaxiv,Juan Orbea De Rivera,Co-Founder & CEO,Stanford/Berkeley graduate.,Spanish/Latin American (inferred from name),
alphaxiv,Rehaan Ahmad,Co-Founder,Stanford/Berkeley graduate. Co-launched alphaXiv in May 2023.,South Asian (inferred from name),
alphaxiv,Raj Palleti,Co-Founder,Stanford/Berkeley graduate.,Indian,
alphaxiv,Daniel Kim,Co-Founder,Stanford/Berkeley graduate.,Korean-American (inferred from name),
alphaxiv,Lino Le Van,Co-Founder,Stanford/Berkeley graduate.,Vietnamese/French (inferred from name),
altur,Luis Olave,Co-Founder,YC S25 batch.,Latin American (inferred from name),
altur,Pedro Fernandez,Co-Founder,YC S25 batch.,Latin American (inferred from name),
ambience-healthcare,Mike Ng,Co-Founder / President & Chairman,"BCom Finance University of Sydney, MBA MIT Sloan. Former PE Associate at Calera Capital, IB Analyst at Morgan Stanley. Co-founded Remedy Health. Inspired to enter healthcare after back fracture and misdiagnosis in 2012.",Chinese-American,
ambience-healthcare,Nikhil Buduma,"Co-Founder / CEO (promoted Sep 2025, formerly Chief Scientist)","MIT. Authored 'Fundamentals of Deep Learning' (O'Reilly), first widely-adopted textbook on modern AI. Two-time gold medalist International Biology Olympiad. Managed drug discovery lab at San Jose State at age 16. Co-founded Lean On Me (national nonprofit) and Remedy Medical. Becker's Rising Stars Under 40.",Indian-American,
ambient-ai,Shikhar Shrestha,Co-Founder & CEO,Stanford CS graduate (computer vision). Previously at Apple and Google.,Nepali (inferred from name),
ambient-ai,Vikesh Khanna,Co-Founder & CTO,Stanford CS graduate. Previously at Dropbox (large-scale data infrastructure).,Indian,
ami-labs,Yann LeCun,Chairman,"Turing Award winner (2018) for pioneering work on convolutional neural networks. Former VP and Chief AI Scientist at Meta (2013-2025). PhD from Sorbonne. Professor at NYU. Invented LeNet, foundational to modern deep learning.",American,
ami-labs,Alex LeBrun,CEO,"Former Meta engineer. Founded Nabla, a digital health AI company (now chairman of Nabla). Serial entrepreneur with deep experience in NLP and conversational AI.",French,
amigo-ai,Ali Khokhar,Co-Founder & CEO,Queen's University graduate. Healthcare AI entrepreneur.,Pakistani-American (inferred),
amigo-ai,John Xing,Co-Founder & CTO,Technical co-founder.,Chinese-American,
anaconda,Peter Wang,Co-Founder & Chief AI/Innovation Officer,"15+ years in software design across 3D graphics, geophysics, financial risk modeling, and medical imaging. Previously co-created Bokeh visualization library. Continues to lead Anaconda's AI and innovation strategy.",Chinese-American,
anaconda,Travis Oliphant,"Co-Founder (former CEO, departed 2017)",American data scientist and software developer. Creator of NumPy and founding contributor to SciPy -- two of the most foundational libraries in the Python scientific computing ecosystem. Served as CEO until 2017 when company rebranded from Continuum Analytics to Anaconda.,American,
anchain-ai,Victor Fang,CEO,PhD. Former FireEye/Mandiant AI cybersecurity lead.,,
anchain-ai,Ben Wu,COO,"Former engineering executive at Yahoo, Dell EMC, and Pivotal.",,
anduril,Palmer Luckey,Founder,Founded Oculus VR at age 19; sold to Facebook for $2.3B in 2014. Self-taught hardware engineer; attended community college and CSU Long Beach (did not graduate). Built VR headset prototypes starting at age 16. Forbes net worth ~$3.5B (Feb 2026).,American,
anduril,Brian Schimpf,Co-Founder & CEO,Former Director of Engineering at Palantir Technologies. Founded Cornell University's autonomous vehicle research program (DARPA Grand Challenge / Urban Challenge). BS in Operations Research & Industrial Engineering from Cornell.,American,
anduril,Trae Stephens,Co-Founder & Executive Chairman,"Partner at Founders Fund. Georgetown School of Foreign Service (Arabic & Security Studies). Former computational linguist in the US Intelligence Community (Arabic/Persian). Early employee at Palantir, led defense/intel growth.",American,
anduril,Matt Grimm,Co-Founder & COO,Co-founded Cornell's autonomous vehicle team with Brian Schimpf. BS in Mechanical & Aerospace Engineering and MEng in Systems Engineering from Cornell.,American,
anduril,Joseph Chen,Co-Founder,"One of the first employees at Oculus VR (hardware/product lead). US Army National Guard paratrooper, 1-143rd Infantry Battalion (Airborne). Prior work in AR at Epson. BA in Electrical Engineering from Rice University; MBA from USC.",Asian American,
angle-health,Ty Wang,Co-Founder & CEO,Former Palantir deployment team. Y Combinator W20.,Chinese-American,
angle-health,Anirban Gangopadhyay,Co-Founder & CTO,Former Palantir machine learning team.,Indian,
ankar,Tamar Gomez,Co-Founder & CEO,Doctorate in economics from Imperial College London. Former product manager at Helsing (AI defence tech).,European (inferred from name and London base),
ankar,Wiem Gharbi,Co-Founder,Graduate of Telecom Paris. 6 years at Palantir (strategy and product development).,Tunisian/North African (inferred from name),
anomalo,Elliot Shmukler,Co-Founder & CEO,,American (Russian-Jewish heritage),Instacart (VP of Product & Growth); LinkedIn (Head of Growth); Wealthfront
anomalo,Jeremy Stanley,Co-Founder & CTO,PhD (inferred from technical background),American,Instacart (VP of Data Science)
anterior,Abdel Mahmoud,Co-Founder & CEO,"Born in Libya, came to UK as refugee at age 8. MEng UCL. Youngest infantry officer in UK (Royal Military Academy Sandhurst at 18). Trained as doctor (NHS), then returned to CS. Former product roles at Google and Meta.",Libyan-British,
anterior,Zahid Mahmood,Co-Founder & CTO,"BEng EE Queen Mary University, MSc Engineering Management UCL. Founded first company as teenager. 6 years as Software Engineer at Global Aerospace building payment platforms. Serial founder (Buskana, Crowdfund NFT).",British,
anthropic,Dario Amodei,CEO,"PhD in biophysics from Princeton. VP of Research at OpenAI, where he led development of GPT-2 and GPT-3 and co-invented RLHF. Previously at Baidu and Google.",American,
anthropic,Daniela Amodei,President,BA in English Literature from UC Santa Cruz. Early employee at Stripe (2013). VP of Safety & Policy at OpenAI. Background in global health and politics before tech.,American,
anthropic,Tom Brown,Co-Founder,M.Eng. in Computer Science and Brain & Cognitive Sciences from MIT. Led GPT-3 engineering at OpenAI. Previously at Google Brain. Co-founded YC-backed startup Grouper.,American,
anthropic,Jack Clark,"Co-Founder, Head of Policy",Attended University of East Anglia. Former tech journalist at Bloomberg BusinessWeek and The Register. Policy Director at OpenAI.,American. Educated partly in the UK,
anthropic,Jared Kaplan,"Co-Founder, Chief Science Officer",PhD in physics from Harvard (advised by Nima Arkani-Hamed). Associate professor of physics at Johns Hopkins. Co-authored the landmark 'Scaling Laws for Neural Language Models' paper at OpenAI.,American,
anthropic,Sam McCandlish,"Co-Founder, Chief Architect","PhD in Theoretical Physics from Stanford. Math and Physics from Brandeis. Postdoctoral fellow at Boston University. Research team lead at OpenAI, instrumental in GPT-3 development.",American,
anthropic,Christopher Olah,"Co-Founder, Research Director",Canadian. Left university at 18 without a degree. Thiel Fellow. Pioneered neural network interpretability research at Google Brain and OpenAI. Created influential blog (colah.github.io) on understanding neural networks.,Canadian,
antithesis,Will Wilson,Co-Founder & CEO,"Previously at FoundationDB (deterministic simulation testing), Apple, and Google (distributed systems).",American,
antithesis,Dave Scherer,Co-Founder,"Co-founded FoundationDB in 2009, served as its principal architect.",American,
anyscale,Robert Nishihara,Co-Founder & CEO,"BA Mathematics Harvard, PhD CS UC Berkeley (advised by Ion Stoica). Research intern at Facebook AI Research, Microsoft Research. Co-creator of Ray distributed computing framework.",American,
anyscale,Philipp Moritz,Co-Founder & CTO,"BSc Physics U. Würzburg, MASt Mathematics Cambridge, PhD CS UC Berkeley. Co-creator of Ray. Contributor to vLLM, Apache Arrow. Research in distributed systems, compilers.",German,
anyscale,Ion Stoica,Co-Founder,"MS EE/CS Polytechnic University of Bucharest, PhD ECE Carnegie Mellon. Professor of CS at UC Berkeley (Xu Bao Chancellor's Chair). Co-founded Databricks and Conviva. Director of RISELab/SkyLab.",Romanian-American,
anyscale,Michael I. Jordan,Co-Founder,"MS Mathematics Arizona State, PhD Cognitive Science UC San Diego. Pehong Chen Distinguished Professor at UC Berkeley (EECS & Statistics). Former MIT professor (1988-1998). Member of NAS, NAE, and American Academy of Arts and Sciences.",American,
anysphere-cursor,Michael Truell,Co-Founder & CEO,MIT CS Class of 2022. Neo Scholar.,American,
anysphere-cursor,Sualeh Asif,Co-Founder & CPO,MIT CS Class of 2022. Neo Scholar.,South Asian (inferred from name),
anysphere-cursor,Arvid Lunnemark,Co-Founder & former CTO,MIT CS Class of 2022. Neo Scholar.,Scandinavian (inferred from name),
anysphere-cursor,Aman Sanger,Co-Founder & COO,MIT CS Class of 2022. Neo Scholar.,Indian-American (inferred from name),
anything-ai,Dhruv Amin,Co-Founder,Former Google engineer. Previously ran Create.xyz marketplace.,Indian-American (inferred),
anything-ai,Marcus Lowe,Co-Founder,MIT graduate. Former Google engineer. Previously ran Create.xyz marketplace.,African-American,
applied-compute,Yash Patil,Co-Founder & CEO,Former OpenAI researcher who worked on the Codex programming assistant. Leads business strategy and customer relationships.,Indian-American (inferred),
applied-compute,Rhythm Garg,Co-Founder,Former OpenAI researcher who helped build ChatGPT's o1 reasoning model. Deep expertise in reasoning systems and model training.,Indian-American (inferred),
applied-compute,Linden Li,Co-Founder,Former OpenAI researcher who worked on AI training infrastructure. Expertise in compute optimization and model training at scale.,Chinese-American,
applied-intuition,Qasar Younis,Co-Founder & CEO,"Pakistani American. Born on a farm in Pakistan; emigrated to the US in 1988, grew up in the Detroit area. Studied engineering at General Motors Institute of Technology (now Kettering University) in Flint, MI, where he managed a V6 engine line at a GM plant. MBA from Harvard Business School. Started career as engineer at General Motors, then Bosch in Japan. Co-founded Talkbin (acquired by Google, 2011). Served as COO of Y Combinator under Sam Altman.","Pakistani American, raised in Detroit metro area",
applied-intuition,Peter Ludwig,Co-Founder & CTO,"Computer Science degrees from University of Michigan. Spent five years as an engineer at Google, leading efforts on Google Maps and Android Automotive. Met Qasar Younis while at Google. Built sensors for a Google Street View car. Fellow Michigander -- shared Detroit/auto-industry upbringing shaped the company's thesis.","American, raised in Michigan",
apptronik,Jeff Cardenas,Co-Founder & CEO,Robotics entrepreneur from UT Austin Human Centered Robotics Lab.,Hispanic-American (inferred from name),
apptronik,Nicholas Paine,Co-Founder & CTO,UT Austin robotics researcher.,American,
apptronik,Luis Sentis,Co-Founder & Scientific Advisor,"Professor at UT Austin, Human Centered Robotics Lab.",Spanish/Hispanic (inferred from name),
apptronik,Bill Welch,Co-Founder & Mentor,Retired Air Force General.,American,
appzen,Anant Kale,Co-founder & CEO,"BEng, MBA Finance University of Mumbai. Former VP Applications at Fujitsu America (strategy, product management). 15+ years in enterprise software development.",Indian,
appzen,Kunal Verma,Co-founder & CTO,"PhD CS University of Georgia (semantic technologies). Former team lead at Accenture Technology Labs. Published 50+ papers, holds 7 patents in AI/semantic technologies.",Indian,
april-ai,Unknown,Co-Founder,YC S25 batch.,,
apriora,Aaron Wang,Co-Founder,"Quant finance, Facebook AI",Chinese-American,
apriora,John Rytel,Co-Founder,,American,
arago-photonics,Nicolas Muller,CEO,ML from MIT. DeepTech startup experience.,French,
arago-photonics,Eliott Sarrey,CTO,Ecole Polytechnique + ETH Zurich. Google Science Fair winner.,French,
arcade-ai,Alex Salazar,Co-Founder & CEO,Former Okta executive.,American,
arcade-ai,Sam Partee,Co-Founder & CTO,Former Redis engineer.,American,
arcads-ai,Romain Torres,Co-Founder & Co-CEO,Based in France.,French (inferred from name),
arcads-ai,Dylan Fournier,Co-Founder & Co-CEO,Based in France.,French (inferred from name),
archetype-ai,Ivan Poupyrev,CEO,"MS Applied Math & CS Moscow Aerospace University, PhD CS Hiroshima University. Former Director of Engineering at Google ATAP (led Project Soli radar sensing and Jacquard smart textiles, shipped in 15+ products across 33 countries). Former Principal Research Scientist at Walt Disney Imagineering and Sony Research Tokyo.",Russian-American,
archetype-ai,Leonardo Giusti,Co-founder,Former Google ATAP team member. Co-created Project Jacquard connected apparel platform.,Italian-American,
archetype-ai,Jaime Lien,Co-founder,Former Google ATAP team member. Co-created Project Soli radar-based gesture recognition.,American,
archetype-ai,Brandon Barbello,Co-founder,Former Google ATAP team member. Worked on Project Soli and Jacquard platforms.,American,
archetype-ai,Nick Gillian,Co-founder,Former Google ATAP team member. ML/sensing specialist on Project Soli.,Irish-American,
arcline,Unknown,Co-Founder & CEO,Legal and AI background.,,
arena,Anastasios Nikolas Angelopoulos,CEO,"PhD EECS UC Berkeley (advised by Michael I. Jordan and Jitendra Malik). Postdoc at UC Berkeley with Ion Stoica. Research focus on trustworthy AI, conformal prediction, and reliable ML. Co-created Chatbot Arena as PhD side project in 2023.",Greek-American,
arena,Wei-Lin Chiang,CTO,"BS & MS National Taiwan University, PhD candidate EECS UC Berkeley (SkyLab, advised by Ion Stoica). Research internships at Google, Amazon, Alibaba, Microsoft. Co-created Chatbot Arena as PhD side project in 2023.",Taiwanese-American,
